candidates	10011111000101110111111011110000	20
general	1001111100010111101010110111100001	20
major	1001111100010111101110000111	19
five	10011111000101111001001110110000100	19
w.	100111110001011111001011111011101	19
israeli	100111110001011110101011000001100111011101001	19
month	1001111100010111111010000000110	19
won	1001111100010111110011001101100010	19
need	100111110001011100000111011010	19
same	100111110001011100110011001111	19
important	100111110001011100000111010101011011110000	19
lemieux	1001111100010011010101011001010	19
big	10011111000101110000110001100100	19
administration	1001111100010111110000100111101	19
school	10011111000101111000100110011	19
members	100111110001011110011110111111100	19
few	1001111100010111100100111001001100	19
leader	100111110001011111100100010010010101111011	19
ruling	100111110001011111101110101001010	19
want	10011111000101101101011101	18
asked	1001111100010111000101110111	18
city	10011111000100100101110011111011000	18
past	100111110001011110000001001001010	18
senate	1001111100010111110000001001010011	18
announced	100111110001111111010001001110	18
office	1001111100010111001000101001	18
way	10011111000101110100010000100110	18
increase	100111110001111100100010010111	18
these	1001111100010111000001111110101001111011	18
area	100111110001011110001000001110	18
call	1001111100010111110101010110000	18
u.s.	100111110001010010000011100001000	18
interest	100111110001011110111111111100111	18
killed	100111110001110111111100100001	18
airport	10011111000101111001001100111000001010010000100010	18
majority	10011111000101111111011111101111	18
're	100111110001011100111000001111100011	18
my	10011111000101110011101101101000111100100	18
hearing	1001111100010111011010001101	18
says	10011111000100110101110101	18
released	10011111000101111110100010011111	18
phillips	1001111100010111001101101101111011011	18
without	10011111000101111001110001100100	18
don't	10011111000101110011101100111001100110	18
chairman	1001111100010111110010110110111110111010100000000	18
flight	1001111100010101011000111001	18
know	10011111000101111100001100010	18
own	10011111000101111100101001100000100	18
series	10011111000101111001000010010101100010011	17
saying	100111110001110100010111	17
jellyfish	10011111000101110000011101100100100011100001010111101101000100011110	17
sent	100111110001011100011010001010000	17
emergency	100111110001011110101101011110101110001100011	17
germany	10011111000101110010101001011001011000	17
trial	1001111100010100010111110100	17
economy	1001111100010000001100011110	17
america	100111110001111101011110111	17
early	10011111000101110010011110100100010	17
issue	1001111100010111110010001001100110	17
u.s	10011111000101111010011000100	17
well	100111110001011100111011001000011010101	17
spokesman	1001111100010111101000000010001100111	17
rights	1001111101001111010000101110000100	17
third	100111110001111010001111	17
policy	100111110001011111000010101001	17
west	10011111000111011110100101011101	17
middle	100111110001011110001101011101001	17
late	100111110001011111010100101110010	17
others	1001111100010011111011000010001	17
stock	10011111000110010001010001000000011	17
although	100111110001011101000000000001011	17
me	10011111000101110011101001100011111010	17
coach	100111110001011010100000011111000000	17
minister	100111110001011111100110011111010	17
once	1001111100010111101011011111000	17
local	10011111000101111100101100000110101110	17
chapman	10011111000101110011101001001011111101101	17
reported	10011111000101101010010111001110	16
financial	10011111000101110010010101011100101101	16
best	100111110001011111000111000011110001	16
offer	10011111000110011001001010001	16
nation	10011111000101111010011010111111	16
information	10011111000101110010011011110000	16
number	100111110001111110111101000000	16
came	100111110001110101011001110111001	16
network	10011111000101110100001100011101010110	16
arab	10011111000101111010101011010001000010	16
division	100111110001011100110110010011	16
strong	100111110001011101000011001	16
northern	100111110001011110010011111100000111101010111	16
lost	1001111100010111100001001100100	16
north	100111110001011111010111011010110001	16
whose	1001111100010111000000001110000110111010101	16
army	10011111000110000001100100010001	16
better	1001111100110101101	16
lawyers	1001111100010101100110100110101	16
commission	10011111000111011011111101	16
died	1001111100010111100101100111010011	16
10	100111110001011111000001011111101	16
according	10011111000100000100100110	16
pay	100111110001011100101010000011011011000	16
find	10011111000101111001000011101100000	16
district	10011111000101111001100001100110110	16
white	10011111000101111000010101011110110011	16
egypt	10011111000101111010101011101101100100	16
parliament	100111110001011110101001000000011	16
job	1001111100010110101000000111001	16
right	100111110001011100010010010	15
fox	10011111000111001101110000100	15
current	1001111100010111101010100111011010	15
future	1001111100010111010100101010111000001	15
s	100111110001011100111100000010000101000110	15
cheney	1001111100010111110001110111000111110	15
large	1001111100010111010010110010	15
see	10011111000101111110101001100001100	15
agreement	100111110001011110110001100011	15
results	1001111100010111111011100011101101101101	15
let	1001111100010101010001101	15
bonds	10011111000101111001000010010101000111	15
herblock	100111110001011110000001111001110011	15
away	100111110010000010010011	15
months	1001111100010111100010001111000101000011	15
war	10011111000101111110011101110011010	15
social	100111110001111111011111011111001101	15
birds	10011111000101111010111010110011101000000000011110	15
held	1001111100010111001100110010000101000111101	15
likely	1001111100010111111100010111	15
county	1001111100010111100100110001010110100000	15
candidate	10011111000101111100010110001110	15
deal	10011111000111110011001111	15
hospital	10011111000101111010110100011001100	15
council	100111110001011110101011010111010001	15
among	1001111100010111100100010011000010101	15
share	100111110001110101110001010	15
almost	1001111100011001101010	15
took	1001111100010111101111110011	15
though	10011111000111100000111100101011	15
countries	10011111000101111010101011010001000011	15
agreed	10011111000110000000010100110	15
come	10011111000101110110000010010101111010	15
wife	10011111000101111001011000001101001000	15
guzman	10011111000101111110011110001011111000011	15
higher	10011111000101111000110000010	15
workers	100111110001000010111011100001	15
microsoft	100111110001011100100100001001000100100011100	15
military	100111110001011100111101000000101011110	14
hold	100111110001011111101100000101	14
european	100111110001110110011000000	14
support	10011111000101110011101101100010010	14
quarter	1001111100011110011110010101	14
open	10011111000111001110100011	14
average	10011111000101111001000010100111000010010	14
airlines	100111110001010100011000	14
us	100111110001011100111000001001001	14
put	100111110001001000010011011	14
lawsuit	10011111000101000100001011	14
interview	10011111000101110011101001000011001011	14
air	10011111000101111100111001010001	14
shares	1001111100011001000101000100000010	14
eu	10011111000100111110001100100011	14
care	1001111100010111110010110011010110110	14
television	100111110001011111001111101111010101001	14
flights	10011111000101010000010111	14
used	100111110001011111001010101111100100	14
control	10011111000101111011111100101100	14
attack	10011111000101111101010000001011100	14
final	100111110001011011101100010111	14
consumer	1001111100011110011001101100	14
larson	100111110001011111101101000011010	14
near	100111110001001100100010001000000001	14
left	1001111100010111100100001111000111000	14
morning	100111110001011110010011010101101101110	14
money	1001111100010111111010010001011010101	14
bill	1001111100010111110000111011110100	14
italy	100111110001011110010011111100000111101010110	14
must	100111110001011100101101111000111101100110110100011	14
term	100111110001000000011111000	14
place	100111110001011100001000000101001111	14
rose	1001111100010111100001010001100010100011100	14
program	1001111100010111010000111001000111001	14
change	1001111100010111100100111100000011000101110010	14
rally	1001111100010111100011110011011100	14
problems	1001111100010000001100011101101	14
example	100111110001011100100000000110011001000	13
union	100111110001110110011000001	13
role	10011111000101011110001000	13
'm	1001111100010111001110110001110101010	13
draft	1001111100010011001100011101	13
industry	1001111100010111001101101010101111000010	13
act	100111110001011110101001110010000010011	13
small	10011111000101111100010011011101001110	13
evolved	1001111100010111101011101011001110100000000001110	13
europe	1001111100010111100011011000000	13
video	1001111100010111110010110111001111101	13
move	1001111100010111010111010111011110	13
david	1001111100010010010011001	13
absentee	1001111100010111011101010111100110000110	13
loans	100111110001011110111110000111101000101110	13
official	10011111000101111110111101001010	13
appeal	10011111000101111011111010000010011011100101001	13
german	10011111000101110010101101000101110010101111110	13
death	100111110001011111000101000101010001	13
history	100111110001010010100110010111	13
voters	10011111000101110111001111100000000101101010	13
economic	1001111100011111010100110010110	13
similar	1001111100010111001010101111000001	13
does	10011111000101111000111001111000	13
win	1001111100010111100101000111000111	13
?	1001111100010111001011001000010101	13
across	100111110001011110010011111001010111101001001	13
give	100111110001011100111101000000000100	13
mexico	100111110001011111101110110011011111111	13
main	100111110010001111000101000	13
mark	1001111100010111100001010001100010100011101010010	13
20	100111110001011111010010111100	13
oil	1001111100010111001100100110111101	13
prices	10011111000101111000110000011	13
elections	1001111100010111111011101100110111011	13
source	1001111100010111001001000010010001001000111011	13
south	1001111100010000101110111001010010	13
serbia	1001111100010111001111000000100001010001110	13
too	100111110001011100110110011110101111001111110100	13
-	10011111000101111010101111001100001100010	13
outside	100111110001010101110010001011111110111	13
legal	10011111000101110011001000001110001110100	13
far	1001111100011111000001011	13
health	1001111100010111110010110010000010110	13
georgia	1001111100011101001010001001110111	13
compaq	100111110001110101110011	13
recount	10011111000101000001011001	13
mutual	1001111100010111001101101010101111000001	13
book	1001111100010111001110100011100001	13
